date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:32:16	24597/24597	---MC-	200	added ('OK')	text/html	date:Wed,%2019%20Sep%202018%2013:32:15%20GMT	http://localhost/francist/	/profile/localhost/francist/index.html	(from )
16:32:17	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Sep%202018%2013:32:15%20GMT	http://localhost/robots.txt		(from )
16:32:17	91499/91499	---M--	200	added ('OK')	text/css	etag:%221656b-574a567799380%22	http://localhost/francist/wp-content/themes/astra/assets/css/minified/style.min.css?ver=1.4.10	/profile/localhost/francist/wp-content/themes/astra/assets/css/minified/style.min5b3c.css	(from http://localhost/francist/)
16:32:18	3304/3304	---M--	200	added ('OK')	font/woff	etag:%22ce8-574a567799380%22	http://localhost/francist/wp-content/themes/astra/assets/fonts/astra.woff	/profile/localhost/francist/wp-content/themes/astra/assets/fonts/astra.woff	(from http://localhost/francist/)
16:32:18	1743/1743	---M--	200	added ('OK')	text/css	etag:%226cf-5759b6a14f9ad%22	http://localhost/francist/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.4	/profile/localhost/francist/wp-content/plugins/contact-form-7/includes/css/styles5560.css	(from http://localhost/francist/)
16:32:18	852/852	---M--	200	added ('OK')	application/rss+xml	etag:%22d20fabc04ad2365005d55fd9b55307da%22	http://localhost/francist/feed/	/profile/localhost/francist/feed/index.html	(from http://localhost/francist/)
16:32:18	743/743	---M--	200	added ('OK')	application/rss+xml	etag:%22b5b805b63b06ae8554223010fa6ecf85%22	http://localhost/francist/comments/feed/	/profile/localhost/francist/comments/feed/index.html	(from http://localhost/francist/)
16:32:18	1157/1157	---M--	200	added ('OK')	text/css	etag:%22485-574a567799380%22	http://localhost/francist/wp-content/themes/astra/assets/css/minified/compatibility/contact-form-7.min.css?ver=1.4.10	/profile/localhost/francist/wp-content/themes/astra/assets/css/minified/compatibility/contact-form-7.min5b3c.css	(from http://localhost/francist/)
16:32:18	17799/17799	---M--	200	added ('OK')	text/css	etag:%224587-5759b6adfd207%22	http://localhost/francist/wp-content/plugins/social-icons-widget-by-wpzoom/assets/css/socicon.css?ver=20180903	/profile/localhost/francist/wp-content/plugins/social-icons-widget-by-wpzoom/assets/css/socicona2cc.css	(from http://localhost/francist/)
16:32:19	28296/28296	---M--	200	added ('OK')	text/css	etag:%226e88-5759b6adfa328%22	http://localhost/francist/wp-content/plugins/social-icons-widget-by-wpzoom/assets/css/genericons.css?ver=20180625	/profile/localhost/francist/wp-content/plugins/social-icons-widget-by-wpzoom/assets/css/genericonsad98.css	(from http://localhost/francist/)
16:32:20	30994/30994	---M--	200	added ('OK')	text/css	etag:%227912-5759b6adf64b0%22	http://localhost/francist/wp-content/plugins/social-icons-widget-by-wpzoom/assets/css/font-awesome.min.css?ver=20180625	/profile/localhost/francist/wp-content/plugins/social-icons-widget-by-wpzoom/assets/css/font-awesome.minad98.css	(from http://localhost/francist/)
16:32:21	46360/46360	---M--	200	added ('OK')	text/css	etag:%22b518-5571e53ac7600%22	http://localhost/francist/wp-includes/css/dashicons.min.css?ver=4.9.8	/profile/localhost/francist/wp-includes/css/dashicons.min5010.css	(from http://localhost/francist/)
16:32:22	10902/10902	---M--	200	added ('OK')	text/css	etag:%222a96-573ef2accdc00%22	http://localhost/francist/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=3.8.0	/profile/localhost/francist/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min9e95.css	(from http://localhost/francist/)
16:32:22	27395/27395	---M--	200	added ('OK')	text/css	etag:%226b03-571b0f8462481%22	http://localhost/francist/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.css?ver=4.11.2.1	/profile/localhost/francist/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.mina752.css	(from http://localhost/francist/)
16:32:23	18468/18468	---M--	200	added ('OK')	text/css	etag:%224824-5674753556e80%22	http://localhost/francist/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=2.2.0	/profile/localhost/francist/wp-content/plugins/elementor/assets/lib/animations/animations.min3601.css	(from http://localhost/francist/)
16:32:24	86010/86010	---M--	200	added ('OK')	text/css	etag:%2214ffa-57478508f0100%22	http://localhost/francist/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=2.2.0	/profile/localhost/francist/wp-content/plugins/elementor/assets/css/frontend.min3601.css	(from http://localhost/francist/)
16:32:26	6039/6039	---M--	200	added ('OK')	text/css	etag:%221797-5762f7257a1ad%22	http://localhost/francist/wp-content/uploads/elementor/css/global.css?ver=1537321037	/profile/localhost/francist/wp-content/uploads/elementor/css/global18b4.css	(from http://localhost/francist/)
16:32:26	1414/1414	---M--	200	added ('OK')	text/css	etag:%22586-57636c2359b62%22	http://localhost/francist/wp-content/uploads/elementor/css/post-35.css?ver=1537352442	/profile/localhost/francist/wp-content/uploads/elementor/css/post-352c08.css	(from http://localhost/francist/)
16:32:28	842/842	---M--	200	added ('OK')	text/xml	date:Wed,%2019%20Sep%202018%2013:32:26%20GMT	http://localhost/francist/xmlrpc.php?rsd	/profile/localhost/francist/xmlrpc0db0.php	(from http://localhost/francist/)
16:32:28	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-5333d7258d800%22	http://localhost/francist/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	/profile/localhost/francist/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost/francist/)
16:32:28	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed45022ef200%22	http://localhost/francist/wp-includes/wlwmanifest.xml	/profile/localhost/francist/wp-includes/wlwmanifest.xml	(from http://localhost/francist/)
